node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND206122AAA,0.0004053738488258,1,1,0.0,58.0,1.4330357142857144,Auraiya_AryaNagr_D (Uttar Pradesh),0.0235116832318986,5.5969326444657504e-08,-1.1662972281765837e-08,6.070213613299117e-08,2.206201452518216e-08,3.4140042940134355e-09,-6.401055988012133e-09,3.047633205841214e-08,-4.6344532584710025e-08,4.965096059958385e-09,9.171172776653183e-09,1.9703558659468146e-08,-6.682406388002924e-08,1.6121340122575638e-07,-2.583968495055536e-07,2.2504363153638044e-07,-1.2834646777683406e-07
IND206001AAA,0.0004031846111184,1,1,0.0,257.0,1.36,Etawah_MhraChng_D (Uttar Pradesh),0.103618445057431,5.596932644445192e-08,-1.166297228236205e-08,6.07021361320553e-08,2.2062014524825267e-08,3.4140042923324114e-09,-6.40105598757689e-09,3.0476332057920485e-08,-4.634453258576474e-08,4.965096059615286e-09,9.171172776159689e-09,1.9703558659678362e-08,-6.682406387985651e-08,1.6121340122591735e-07,-2.5839684950537516e-07,2.250436315376769e-07,-1.2834646777604063e-07
IND000000ACB,0.2202276862799696,45,49,0.0265099124020285,22419.0,1.6664238175459112,Gurgaon_Bilaspur_HB (Haryana),4937.28449871064,5.596932644423897e-08,-1.1662972281672109e-08,6.07021361329168e-08,2.2062014524673923e-08,3.414004294144661e-09,-6.401055987100079e-09,3.047633205859373e-08,-4.6344532584320946e-08,4.965096060098394e-09,9.17117277682815e-09,1.9703558658798308e-08,-6.682406388026673e-08,1.6121340122602042e-07,-2.583968495053295e-07,2.250436315374947e-07,-1.283464677762264e-07
IND382430AAB,0.0316951913933229,17,13,0.0291375291375291,1733.0,1.7994797592477831,Ahmedabad_East_H_1 (Gujarat),54.92776668462864,5.596932644426131e-08,-1.1662972281347225e-08,6.070213613441088e-08,2.2062014525297204e-08,3.4140042940149145e-09,-6.401055986493428e-09,3.047633205939383e-08,-4.634453258445488e-08,4.965096060482704e-09,9.171172778033996e-09,1.970355865677849e-08,-6.682406388142625e-08,1.6121340122524493e-07,-2.5839684950445814e-07,2.250436315363762e-07,-1.2834646777623767e-07
IND395023AAA,0.0136669317292585,8,8,0.1521739130434782,2187.0,2.015128420772496,Surat_HUB (Gujarat),29.889579691888397,5.5969326443779845e-08,-1.1662972281886972e-08,6.07021361330726e-08,2.2062014524779696e-08,3.41400429281281e-09,-6.401055987180222e-09,3.0476332058378915e-08,-4.634453258470755e-08,4.965096059910448e-09,9.171172776952846e-09,1.970355865808367e-08,-6.682406388144441e-08,1.612134012261425e-07,-2.583968495040102e-07,2.250436315376728e-07,-1.283464677762975e-07
IND431603AAA,0.0048425938088357,4,4,0.074074074074074,92.0,2.6017740429505136,Nanded_Aswningr_I (Maharashtra),0.4455186304128902,5.596932644414832e-08,-1.1662972282169097e-08,6.070213613327205e-08,2.2062014524892643e-08,3.4140042915567807e-09,-6.4010559878514384e-09,3.047633205819905e-08,-4.634453258589533e-08,4.96509606189661e-09,9.171172776956357e-09,1.9703558658377518e-08,-6.682406388032413e-08,1.6121340122546313e-07,-2.5839684950480436e-07,2.250436315370775e-07,-1.283464677761863e-07
IND431708AAA,0.0032181794299225,1,1,0.0,32.0,1.9375,Loha_SivjiCWK_D (Maharashtra),0.10298174175752,5.59693264440097e-08,-1.1662972281876699e-08,6.07021361333701e-08,2.2062014524772996e-08,3.414004291512076e-09,-6.401055987145153e-09,3.047633205823145e-08,-4.634453258503703e-08,4.96509606100294e-09,9.171172777544932e-09,1.970355865825782e-08,-6.682406387982528e-08,1.6121340122573298e-07,-2.583968495044886e-07,2.2504363153551718e-07,-1.2834646777593361e-07
IND431514AAA,0.003215990192215,1,1,0.0,32.0,2.117647058823529,Gangakher_Busstand_D (Maharashtra),0.1029116861508822,5.59693264437936e-08,-1.1662972281771486e-08,6.070213613322309e-08,2.206201452445591e-08,3.414004286432441e-09,-6.4010559880713245e-09,3.047633205674937e-08,-4.63445325873962e-08,4.965096061108111e-09,9.171172776577736e-09,1.9703558658458764e-08,-6.68240638802204e-08,1.612134012251602e-07,-2.5839684950447656e-07,2.25043631537264e-07,-1.283464677751459e-07
IND431515AAA,0.0032138009545076,1,1,0.0,14.0,2.933333333333333,Parli_JirgeNgr_D (Maharashtra),0.0449932133631069,5.596932644377133e-08,-1.1662972281601125e-08,6.070213613363693e-08,2.206201452463444e-08,3.4140042890249504e-09,-6.401055986929846e-09,3.047633205758694e-08,-4.634453258538155e-08,4.96509606082877e-09,9.171172777627273e-09,1.9703558658492112e-08,-6.682406388044458e-08,1.6121340122606619e-07,-2.5839684950545414e-07,2.2504363153641162e-07,-1.283464677762995e-07
IND431517AAB,0.0032116117168002,1,1,0.0,152.0,2.2857142857142856,Ambajogai_BnsllNgr_D (Maharashtra),0.488164980953632,5.596932644424676e-08,-1.166297228179291e-08,6.070213613352688e-08,2.2062014524574172e-08,3.4140042896843345e-09,-6.401055988395692e-09,3.047633205747997e-08,-4.634453258615439e-08,4.965096060506856e-09,9.171172777337617e-09,1.9703558658474576e-08,-6.682406388066082e-08,1.612134012252877e-07,-2.583968495041961e-07,2.2504363153703233e-07,-1.2834646777534183e-07
